index_label,uri,timestamp,Laughter,ContinBellyLaugh,ContinLaughter,ContinCheering,ContinApplause,ContinExcitingMusic,ContinSnicker,entertaining
148,spotify:episode:2jtdbFsMOTgWAvg8knaRyI,3660,63,0,31,20,18,97,34,1
149,spotify:episode:1SRGP3FESnnZai2udszkfn,3360,111,150,1418,50,448,959,1378,1
150,spotify:episode:0WcD6Zt7yAj2CnHyOWLpzO,1200,1,0,0,5,1,12,0,0
151,spotify:episode:33MVd0jUateOn5bW0UptJ3,2040,53,0,614,143,358,2494,222,1
152,spotify:episode:6rVxjFdpX3TDXsGQg82XwJ,2100,9,0,41,12,47,49,95,1
153,spotify:episode:2uskDdUvWd2URvsBQsR9LB,3540,16,0,439,38,152,501,242,0
154,spotify:episode:7FM5gCdfMlgeQiG5KTO3k5,2220,159,8,2451,1247,1521,3162,1916,1
155,spotify:episode:0FThB39obtHXQ6wGt31kg4,1080,28,0,60,90,88,165,36,1
156,spotify:episode:1szweJv46g7l96wrYO2vHa,0,4,0,576,32,263,1459,59,0
157,spotify:episode:5y1CmyNUCwPl6ebVbQ8nLT,360,85,2,297,65,248,331,217,0
158,spotify:episode:4cO9nqcok829nYhwEu5bfa,1500,2,0,33,22,23,163,4,0
159,spotify:episode:0WcD6Zt7yAj2CnHyOWLpzO,1140,1,0,0,5,1,12,0,0
160,spotify:episode:6rVxjFdpX3TDXsGQg82XwJ,2160,9,0,41,12,47,49,95,1
161,spotify:episode:7fZ3jsiHJdYX3LJGw6v1de,0,250,63,922,138,342,698,779,1
162,spotify:episode:15AxbVsEyuBr8eZ0UHeNjS,1140,1,0,26,36,36,99,25,1
163,spotify:episode:5ZQ8Pd97Zt3TrM9P5mIr0c,720,0,0,124,44,77,1564,9,0
164,spotify:episode:7bElICEkYJ5UkuEW8NqWtG,1080,2,0,0,3,5,116,11,1
165,spotify:episode:4SBBFtztEPqilLMvgpksTh,0,19,0,34,55,93,98,55,1
166,spotify:episode:6ATZazYqdPMHzOkxWPSlfp,780,2,0,4,85,67,115,5,1
167,spotify:episode:0GeoHj0hR0NEWo05WuIj37,1800,36,0,113,81,111,197,117,0
168,spotify:episode:43Mowr0SjxY1FdX8kLjVE6,1320,0,0,0,5,2,54,2,0
169,spotify:episode:3oXBepE1MkZEdfRsFX0Ghu,1500,50,0,36,4,13,30,70,0
170,spotify:episode:5rBsJPLizrHEKcvS4pQihs,540,0,0,11,18,22,495,3,0
171,spotify:episode:0tfBzI0QesKwa8xyVQJ0aF,840,37,0,58,14,65,108,55,0
172,spotify:episode:7F90JqqYskSAhoWNZrVPRz,960,36,0,83,10,32,137,68,0
173,spotify:episode:3rFTeReTdclCHjCCCHlE1g,480,4,0,772,337,515,1391,322,0
174,spotify:episode:3B53OkOctUQDZMzjnPJ4Re,1200,6,0,36,66,56,220,11,1
175,spotify:episode:04b0r5tOL3BMAHTWYcgxCT,900,430,98,805,129,508,759,773,1
176,spotify:episode:68IxanAkfGi9pRLA9fUjjj,600,5,0,11,2,11,31,15,1
177,spotify:episode:3hZwG1iYRqVkclvHrcjBLk,1020,127,29,4203,2353,3111,4544,2494,1
178,spotify:episode:5K5yucVCvXX7WCOuJbe6XB,1320,41,0,497,248,363,736,222,1
179,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,1140,40,0,508,82,300,1236,172,1
180,spotify:episode:5t9zhrz1cOzZlphXkDHsun,60,37,0,131,68,83,266,58,1
181,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,660,40,0,508,82,300,1236,172,1
182,spotify:episode:4ANCG84sdqRGLtrdMlQvq2,4260,24,0,49,59,54,244,49,1
183,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,1200,40,0,508,82,300,1236,172,1
184,spotify:episode:15Yfhj5oMKOdHdSgC1o9A4,960,21,0,148,30,66,146,153,1
185,spotify:episode:0YpihLjTO0CigWFRxC7sU4,4620,279,8,535,198,472,1046,572,1
186,spotify:episode:04b0r5tOL3BMAHTWYcgxCT,960,430,98,805,129,508,759,773,1
187,spotify:episode:5K5yucVCvXX7WCOuJbe6XB,1380,41,0,497,248,363,736,222,1
188,spotify:episode:68IxanAkfGi9pRLA9fUjjj,1020,5,0,11,2,11,31,15,0
189,spotify:episode:05rrMxPb6rzqlGlZXo6VFX,540,114,9,800,143,474,844,512,1
190,spotify:episode:6bqrUpAAsFUB5HQD95xhdR,360,18,0,106,0,22,65,69,1
191,spotify:episode:5UgeVsCGqeLLrKRu1s1NX4,1920,6,1,1425,216,713,2591,174,1
192,spotify:episode:5UgeVsCGqeLLrKRu1s1NX4,1980,6,1,1425,216,713,2591,174,1
193,spotify:episode:5t9zhrz1cOzZlphXkDHsun,4440,37,0,131,68,83,266,58,0
194,spotify:episode:4ANCG84sdqRGLtrdMlQvq2,4200,24,0,49,59,54,244,49,1
195,spotify:episode:68IxanAkfGi9pRLA9fUjjj,960,5,0,11,2,11,31,15,0
196,spotify:episode:7e7wtc96bljbIinOr8cH6W,600,413,126,933,129,516,648,806,1
197,spotify:episode:6bqrUpAAsFUB5HQD95xhdR,300,18,0,106,0,22,65,69,1
198,spotify:episode:05rrMxPb6rzqlGlZXo6VFX,600,114,9,800,143,474,844,512,1
199,spotify:episode:2KAbYISQtJic9wbSajqwgD,1140,47,0,500,38,197,843,121,1
200,spotify:episode:0DNqe9Rnj8gP0fRCOsWxfT,1380,136,5,1119,654,981,2740,708,1
201,spotify:episode:3zwG8i6QCT4U4NscbEN2xd,60,0,0,21,16,26,1103,1,1
202,spotify:episode:4JEFjyiRkHPneMzOwFdwvo,1920,0,0,0,2,3,389,0,0
203,spotify:episode:1uRvnMbiAd8nKpv0E74IWh,1140,6,0,5,7,1,72,14,0
204,spotify:episode:4sbXSCs3OIDGg5HKjbAcUT,960,0,0,507,324,393,3035,202,0
205,spotify:episode:6rfBpcYhpCiZjM5gnZOL6f,60,5,0,503,197,416,1323,118,0
206,spotify:episode:7nzCrApVGQJEI6gCD7zJYd,120,2,0,1866,510,947,5145,176,0
207,spotify:episode:01Miit9S9ExG3Sr01Acrbw,600,1,0,587,116,264,931,75,0
208,spotify:episode:19mCEREZlPevlIUNX955xu,3600,79,0,595,89,415,1178,254,0
209,spotify:episode:2RNF1U6YHNRqnPN3zCHFIn,1380,15,0,36,18,43,187,46,0
210,spotify:episode:2kDHA0wp8VofXya9qfD7I3,420,0,0,25,6,11,155,1,1
211,spotify:episode:5KfiGups2M8oF6CnAo9wUT,1320,218,3,316,147,313,792,233,1
212,spotify:episode:0FevEtlcSDg1c518Es8tFP,1200,3,0,183,20,49,857,23,0
213,spotify:episode:0ZpzDHksTdu21kidABndIc,1320,1,0,5,26,24,100,19,0
214,spotify:episode:0m2RqrofW4nLuFOWmoEpZG,1320,28,0,134,17,88,461,58,0
215,spotify:episode:10FQNKzrcvIdHQIHTXgdKt,960,10,0,35,38,47,225,3,1
216,spotify:episode:113FdqEsf3R2REQWocTNJn,1320,0,0,0,0,0,0,0,0
217,spotify:episode:4xhMHRQLj2ySjtzZ1bbsDL,2280,70,4,150,73,161,298,138,0
218,spotify:episode:6XRsQJmxC4ow8XLXst4mWB,240,7,0,13,0,1,6,4,0
219,spotify:episode:0GqLQzLteMW3GZResljdOX,1320,46,0,92,47,92,145,117,1
220,spotify:episode:0GqLQzLteMW3GZResljdOX,1380,46,0,92,47,92,145,117,1
221,spotify:episode:0GqLQzLteMW3GZResljdOX,1440,46,0,92,47,92,145,117,1
222,spotify:episode:0TEBCCfmRMojkXGg11b6RA,1260,144,4,1073,195,625,1836,477,1
223,spotify:episode:0TEBCCfmRMojkXGg11b6RA,1320,144,4,1073,195,625,1836,477,1
224,spotify:episode:0UPat8ZOxVg4caSTEFKJHr,0,9,0,25,4,4,63,30,0
225,spotify:episode:0tLU7hc9DO74LNq51hiKsu,540,27,0,89,54,94,230,95,0
226,spotify:episode:1Gao7IVLnQQmBAGlT7CFfJ,0,86,4,208,95,179,304,229,1
227,spotify:episode:1Gao7IVLnQQmBAGlT7CFfJ,120,86,4,208,95,179,304,229,1
228,spotify:episode:1Gao7IVLnQQmBAGlT7CFfJ,60,86,4,208,95,179,304,229,1
229,spotify:episode:1nyMvxQLr7Fh3DMBRc6fVx,0,65,2,245,66,89,291,193,1
230,spotify:episode:1nyMvxQLr7Fh3DMBRc6fVx,60,65,2,245,66,89,291,193,1
231,spotify:episode:1tBwWZksIEKXKakbizSLWe,120,1,0,14,0,6,44,3,0
232,spotify:episode:2Q9Hycx0JtXUr5NLyL6aLY,0,152,0,341,178,294,390,421,1
233,spotify:episode:2Q9Hycx0JtXUr5NLyL6aLY,2460,152,0,341,178,294,390,421,1
234,spotify:episode:2Q9Hycx0JtXUr5NLyL6aLY,2520,152,0,341,178,294,390,421,1
235,spotify:episode:2Q9Hycx0JtXUr5NLyL6aLY,2580,152,0,341,178,294,390,421,1
236,spotify:episode:3ThwuWSijXND6RVvA0A3nq,2280,35,11,301,89,269,317,262,0
237,spotify:episode:3ThwuWSijXND6RVvA0A3nq,2340,35,11,301,89,269,317,262,0
238,spotify:episode:4L1FVeqBynvxiuCWPhFvN6,1260,7,0,320,230,272,877,190,0
239,spotify:episode:4MH04d6sFHlBuXcrWfQQay,1620,68,20,90,54,86,319,119,0
240,spotify:episode:4dwLHXHQPfljNhK45cfp6B,720,11,0,81,50,72,501,64,0
241,spotify:episode:4dwLHXHQPfljNhK45cfp6B,780,11,0,81,50,72,501,64,0
242,spotify:episode:5EYcV9sQssJV2dshD3rFOS,2160,70,4,164,84,136,224,168,1
243,spotify:episode:5EYcV9sQssJV2dshD3rFOS,2220,70,4,164,84,136,224,168,1
244,spotify:episode:5FSVU6QL2aWMTricjKZgRJ,3240,81,1,175,10,89,299,127,0
245,spotify:episode:5FSVU6QL2aWMTricjKZgRJ,3300,81,1,175,10,89,299,127,0
246,spotify:episode:5S9Hb0CSu2LRs46vp5ASHR,180,0,0,17,19,18,492,3,0
247,spotify:episode:5S9Hb0CSu2LRs46vp5ASHR,2040,0,0,17,19,18,492,3,0
248,spotify:episode:5uh5IEhEbbmeXyY5ljeElR,2100,106,2,78,48,104,209,110,0
249,spotify:episode:6LNNADgD1Pl0Pl6E1AoE2o,420,91,1,412,110,272,564,237,1
250,spotify:episode:6lpcwY9H0TpqTXbW9TjNhi,2040,121,0,42,48,91,63,74,1
251,spotify:episode:6nQUxY64IjmVF7z61tJZ6U,0,86,1,892,123,430,961,409,0
252,spotify:episode:6uYGdHgYKfg3GJpPjjy7Mo,1020,5,0,34,9,40,704,6,1
253,spotify:episode:77CvgfzBwIuw4uLeNKK6sO,3540,205,4,435,277,432,832,437,1
254,spotify:episode:7CVOJ7O2LxVHzHViziV7BN,120,0,0,0,0,0,0,0,0
255,spotify:episode:7aT9dvbLrghYjHsOcUWWPn,1020,60,0,19,5,21,92,41,1
256,spotify:episode:7aT9dvbLrghYjHsOcUWWPn,3120,60,0,19,5,21,92,41,0
257,spotify:episode:7aT9dvbLrghYjHsOcUWWPn,3180,60,0,19,5,21,92,41,0
258,spotify:episode:7aT9dvbLrghYjHsOcUWWPn,3240,60,0,19,5,21,92,41,0
259,spotify:episode:7u2qjWYfhj4TScKCpG7vYx,240,49,0,75,6,29,258,96,1
260,spotify:episode:7u2qjWYfhj4TScKCpG7vYx,720,49,0,75,6,29,258,96,0
261,spotify:episode:7u2qjWYfhj4TScKCpG7vYx,840,49,0,75,6,29,258,96,0
262,spotify:episode:0BwmrjIsuRxZ6N2oNwAfVm,1260,5,0,79,0,9,257,7,0
263,spotify:episode:0JfNYcddMyN9dx8rTveOMl,180,0,0,88,23,92,1066,19,0
264,spotify:episode:0vvkOh0nmFpzHUrxqxMmtW,240,0,0,1469,175,577,6448,26,0
265,spotify:episode:2jjXQzvAFEpuNJNBBAHmMO,1560,7,0,121,15,40,1155,4,0
266,spotify:episode:2jjXQzvAFEpuNJNBBAHmMO,1980,7,0,121,15,40,1155,4,0
267,spotify:episode:3auEyMdlQx0yq5Nu79d2xa,1320,9,2,206,107,195,1107,133,1
268,spotify:episode:3auEyMdlQx0yq5Nu79d2xa,1560,9,2,206,107,195,1107,133,1
269,spotify:episode:3auEyMdlQx0yq5Nu79d2xa,60,9,2,206,107,195,1107,133,0
270,spotify:episode:3dMmuxN85gAO9f0ERTHyCY,540,31,1,151,40,97,359,83,0
271,spotify:episode:49M677kKbSXIIeIWDucXUn,1680,8,0,12,25,12,140,21,0
272,spotify:episode:49Wv77h1FOtJ8kjy1NAhfM,540,18,0,21,1,36,271,15,0
273,spotify:episode:4EzFycXwc51VRqjudZBGpX,480,9,0,258,31,45,310,68,0
274,spotify:episode:4dMErnSMG8RzgkmPxzgZkC,2340,9,0,15,4,8,155,3,0
275,spotify:episode:1DYCyREUTLz6snK8pvB2vY,0,10,0,6,0,12,2,7,0
276,spotify:episode:1HXluqHbbTa2L2BHTeaU7w,120,20,0,11,0,5,30,8,0
277,spotify:episode:49M677kKbSXIIeIWDucXUn,1740,8,0,12,25,12,140,21,0
278,spotify:episode:49M677kKbSXIIeIWDucXUn,1800,8,0,12,25,12,140,21,0
279,spotify:episode:49M677kKbSXIIeIWDucXUn,480,8,0,12,25,12,140,21,0
280,spotify:episode:51MMEziNNyZB4KZjVrKYM6,1920,6,0,17,4,6,152,20,0
281,spotify:episode:5CSPUQ42LLiWWRHpTbL2J6,2460,0,0,0,0,0,115,0,0
282,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,1740,1,0,166,7,82,137,105,0
283,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,1800,1,0,166,7,82,137,105,0
284,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,2280,1,0,166,7,82,137,105,0
285,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,540,1,0,166,7,82,137,105,0
286,spotify:episode:3qbueGkfTnibRV7EdTJV9S,660,1,0,70,14,32,63,28,0
287,spotify:episode:4QU7MuOghsqNFCOeOmgCGV,1800,9,0,10,3,28,66,8,0
288,spotify:episode:5S9Hb0CSu2LRs46vp5ASHR,360,0,0,17,19,18,492,3,0
289,spotify:episode:0G4YTHf04ZaA2w07bvMm1k,2160,18,0,80,12,76,140,61,0
290,spotify:episode:0dfDn8tM8c8VMAsOXkRKfj,600,25,0,30,3,7,43,29,0
291,spotify:episode:1B9lIDYV3ZBKdt4lgHRK7J,900,105,19,3089,2330,2710,3169,1632,1
292,spotify:episode:1B9lIDYV3ZBKdt4lgHRK7J,960,105,19,3089,2330,2710,3169,1632,1
293,spotify:episode:1EcXIOYL9fNZwsgkcqyiqC,1380,350,73,492,105,234,334,586,1
294,spotify:episode:1EcXIOYL9fNZwsgkcqyiqC,1440,350,73,492,105,234,334,586,1
295,spotify:episode:1HkDtZpy4qjGkm8uDTIYFU,3900,100,7,153,75,115,177,142,0
296,spotify:episode:1SumnU8JNVizJrLUqznPvH,3060,2,0,15,6,32,77,18,0
297,spotify:episode:1Ifnd71BOc2XCwQwoPpUo1,1620,10,0,274,147,205,815,145,0
298,spotify:episode:1YcYN2QvM6utsxCcG3kvb9,2040,1,0,0,0,0,47,0,0
299,spotify:episode:1YcYN2QvM6utsxCcG3kvb9,2100,1,0,0,0,0,47,0,0